case_number,specimen_id,sweep_number,recording_selection,model_condition,metric,value,status,non_evaluable_reason,non_evaluable_category,applicability_rule
31,473943881,77,short_square_triple_first_spiking,glif_stored_grid,absolute_first_spike_latency_error_ms,13.413945370662539,calculated,,calculated,conditional_on_recording_and_model_spikes
31,473943881,77,short_square_triple_first_spiking,glif_stored_grid,absolute_steady_state_delta_voltage_error_mV,,non_evaluable,not_applicable_to_protocol,protocol_structural,long_square_coverage_contract
32,473943881,77,short_square_triple_first_spiking,glif_recording_grid,absolute_spike_count_error,1,calculated,,calculated,unconditional
32,473943881,77,short_square_triple_first_spiking,glif_recording_grid,absolute_first_spike_latency_error_ms,13.42118996201025,calculated,,calculated,conditional_on_recording_and_model_spikes
32,473943881,77,short_square_triple_first_spiking,glif_recording_grid,absolute_steady_state_delta_voltage_error_mV,,non_evaluable,not_applicable_to_protocol,protocol_structural,long_square_coverage_contract
33,473943881,77,short_square_triple_first_spiking,perisomatic_recording_grid_playback,absolute_spike_count_error,0,calculated,,calculated,unconditional
33,473943881,77,short_square_triple_first_spiking,perisomatic_recording_grid_playback,absolute_first_spike_latency_error_ms,0.9499999948352489,calculated,,calculated,conditional_on_recording_and_model_spikes
33,473943881,77,short_square_triple_first_spiking,perisomatic_recording_grid_playback,absolute_steady_state_delta_voltage_error_mV,,non_evaluable,not_applicable_to_protocol,protocol_structural,long_square_coverage_contract
34,473943881,49,long_square_prethreshold_candidate,glif_stored_grid,absolute_spike_count_error,0,calculated,,calculated,unconditional
34,473943881,49,long_square_prethreshold_candidate,glif_stored_grid,absolute_first_spike_latency_error_ms,,non_evaluable,no_in_window_spike,conditional_spike_absence,conditional_on_recording_and_model_spikes
34,473943881,49,long_square_prethreshold_candidate,glif_stored_grid,absolute_steady_state_delta_voltage_error_mV,3.8610378484060655,calculated,,calculated,long_square_coverage_contract
35,473943881,49,long_square_prethreshold_candidate,glif_recording_grid,absolute_spike_count_error,0,calculated,,calculated,unconditional
35,473943881,49,long_square_prethreshold_candidate,glif_recording_grid,absolute_first_spike_latency_error_ms,,non_evaluable,no_in_window_spike,conditional_spike_absence,conditional_on_recording_and_model_spikes
35,473943881,49,long_square_prethreshold_candidate,glif_recording_grid,absolute_steady_state_delta_voltage_error_mV,3.861037848408286,calculated,,calculated,long_square_coverage_contract
36,473943881,49,long_square_prethreshold_candidate,perisomatic_recording_grid_playback,absolute_spike_count_error,0,calculated,,calculated,unconditional
36,473943881,49,long_square_prethreshold_candidate,perisomatic_recording_grid_playback,absolute_first_spike_latency_error_ms,,non_evaluable,no_in_window_spike,conditional_spike_absence,conditional_on_recording_and_model_spikes
36,473943881,49,long_square_prethreshold_candidate,perisomatic_recording_grid_playback,absolute_steady_state_delta_voltage_error_mV,12.525972957521155,calculated,,calculated,long_square_coverage_contract
37,471087830,49,long_square_first_spiking,glif_stored_grid,absolute_spike_count_error,70,calculated,,calculated,unconditional
37,471087830,49,long_square_first_spiking,glif_stored_grid,absolute_first_spike_latency_error_ms,1.2975328278554965,calculated,,calculated,conditional_on_recording_and_model_spikes
